Viewing,Participant,Congruency,Alignment,FaceGroup,WithCatch,isCorrect,reactionTime,ExpCode,RT.Z,View_D,Con_D,Ali_D,View_Con,View_Ali,Con_Ali,View_Con_Ali
monocular,603,incongruent,misaligned,M5,FALSE,1,0.006285316,E1,-0.7056618493354004,1,1,1,1,1,1,1
monocular,603,congruent,aligned,F3,FALSE,1,0.100854865,E1,0.40133069747338207,1,0,0,0,0,0,0
monocular,603,incongruent,misaligned,M4,FALSE,1,5.90895e-4,E1,-0.7990236761184913,1,1,1,1,1,1,1
monocular,603,incongruent,aligned,M1,FALSE,1,5.98422e-4,E1,-0.7290524283448453,1,1,0,1,0,0,0
monocular,603,congruent,aligned,M3,FALSE,1,5.7584e-4,E1,-0.69098258523812,1,0,0,0,0,0,0
monocular,603,incongruent,misaligned,M2,FALSE,1,0.230422711,E1,2.969141374311608,1,1,1,1,1,1,1
monocular,603,congruent,misaligned,F5,FALSE,1,5.84052e-4,E1,-0.8323669759079878,1,0,1,0,1,0,0
monocular,603,congruent,misaligned,M1,FALSE,1,0.01084756,E1,-0.6961052789525141,1,0,1,0,1,0,0
monocular,603,congruent,misaligned,M5,FALSE,1,5.73445e-4,E1,-0.8325077979173443,1,0,1,0,1,0,0
monocular,603,congruent,aligned,M5,FALSE,1,0.070539932,E1,0.07111803355478852,1,0,0,0,0,0,0
monocular,603,congruent,misaligned,F5,FALSE,1,5.77551e-4,E1,-0.8324532853152498,1,0,1,0,1,0,0
monocular,603,congruent,misaligned,F5,FALSE,1,7.28312e-4,E1,-0.8304517328543657,1,0,1,0,1,0,0
monocular,603,congruent,misaligned,M2,FALSE,1,0.070947434,E1,0.10180035117416002,1,0,1,0,1,0,0
monocular,603,congruent,aligned,M1,FALSE,1,5.7413e-4,E1,-0.6910012118224274,1,0,0,0,0,0,0
monocular,603,incongruent,misaligned,M1,FALSE,1,0.155486821,E1,1.7405438431461473,1,1,1,1,1,1,1
monocular,603,congruent,misaligned,F1,FALSE,1,0.100871288,E1,0.4990792469949498,1,0,1,0,1,0,0
monocular,603,congruent,aligned,M4,FALSE,1,0.015454283,E1,-0.5289155835399485,1,0,0,0,0,0,0
monocular,603,congruent,misaligned,M4,FALSE,1,0.090602504,E1,0.36274750413381324,1,0,1,0,1,0,0
monocular,603,incongruent,aligned,F3,FALSE,1,0.021061113,E1,-0.4689303632976953,1,1,0,1,0,0,0
monocular,603,congruent,aligned,M2,FALSE,1,0.011207161,E1,-0.5751783765207962,1,0,0,0,0,0,0
monocular,603,congruent,misaligned,M5,FALSE,1,5.98278e-4,E1,-0.8321781068681929,1,0,1,0,1,0,0
monocular,603,congruent,misaligned,M1,FALSE,1,6.36616e-4,E1,-0.8316691190116159,1,0,1,0,1,0,0
monocular,603,incongruent,aligned,M2,FALSE,1,0.046361046,E1,-0.1473171982689834,1,1,0,1,0,0,0
monocular,603,congruent,misaligned,M3,FALSE,1,5.78235e-4,E1,-0.8324442043070099,1,0,1,0,1,0,0
monocular,603,incongruent,aligned,M2,FALSE,1,6.55219e-4,E1,-0.7283304239453026,1,1,0,1,0,0,0
monocular,603,congruent,misaligned,M1,FALSE,1,0.015917213,E1,-0.628798903709721,1,0,1,0,1,0,0
monocular,603,incongruent,misaligned,F2,FALSE,1,0.026044203,E1,-0.38170867033429284,1,1,1,1,1,1,1
monocular,603,incongruent,misaligned,M5,FALSE,1,5.96423e-4,E1,-0.7989330428164476,1,1,1,1,1,1,1
monocular,603,congruent,aligned,F2,FALSE,1,0.061342567,E1,-0.029066466199231554,1,0,0,0,0,0,0
monocular,603,congruent,aligned,F4,FALSE,1,6.05715e-4,E1,-0.6906571646497066,1,0,0,0,0,0,0
monocular,603,incongruent,aligned,F1,FALSE,1,5.89184e-4,E1,-0.7291698619530108,1,1,0,1,0,0,0
monocular,603,congruent,aligned,F4,FALSE,1,7.82158e-4,E1,-0.6887352170386137,1,0,0,0,0,0,0
monocular,603,congruent,misaligned,M3,FALSE,1,0.041090208,E1,-0.29459396947557237,1,0,1,0,1,0,0
monocular,603,congruent,aligned,M4,FALSE,1,0.040827185,E1,-0.252535175218894,1,0,0,0,0,0,0
monocular,603,incongruent,aligned,F1,FALSE,1,0.005503159,E1,-0.6667033308115266,1,1,0,1,0,0,0
monocular,603,incongruent,misaligned,F5,FALSE,1,5.76525e-4,E1,-0.7992592767969225,1,1,1,1,1,1,1
monocular,603,congruent,aligned,M1,FALSE,1,5.73787e-4,E1,-0.6910049480320282,1,0,0,0,0,0,0
monocular,603,incongruent,misaligned,F2,FALSE,1,5.77551e-4,E1,-0.7992424552035982,1,1,1,1,1,1,1
